Transaction Hash,BlockNo,DateTime (UTC),Action,Price,Market,Buyer Address,Buyer Name,Type,Item,Quantity
"0xb0fd26f38377c857825396efd2b93a34a7941f11f9f98f993bfaa68c2dd1faf9","22404535","2025-05-03 16:44:47","Bought","1.53WETH ($2,805.94)","Seaport","0xeb79F3b9836e14678aBDB862aAbFc171341b3199","","ERC-721","LilPudgys","1"
"0xa4f37a2f4af9b4104b77c016a3b61266e1549550655882e536f29ae95d9bd19d","22404531","2025-05-03 16:43:59","Bought","1.643ETH ($3,013.18)","Seaport","0x873aC0C0Ec47735D521ee38A359DcA14b64B636E","","ERC-721","LilPudgys","1"
"0x1591daa50a11016c0729b2cf117a01072a232c3922884f47ec463eb9ebeed4a2","22404530","2025-05-03 16:43:47","Bought","1.54ETH ($2,824.28)","Seaport","0x69a56ECe3902bd96952cd2b1F4165E786Ba9E3d0","","ERC-721","LilPudgys","1"
"0xb78f09141ea234ecac1348fec5d7adfe9514e1667a8c1a4127d7bd6b489c5379","22404159","2025-05-03 15:29:35","Bought","1.51WETH ($2,769.26)","Seaport","0x504f998AaA20904Da32C42c6e4473D4e83A4BDcA","","ERC-721","LilPudgys","1"
"0x715c90e1d5269d7bbfc4248cab8ae638d2141ac2dec4d15b540cee1c6ee4e921","22402430","2025-05-03 09:42:59","Bought","1.59ETH ($2,915.98)","Seaport","0x873aC0C0Ec47735D521ee38A359DcA14b64B636E","","ERC-721","LilPudgys","1"
"0x31487fe9f909a6062575efde78a728d2ebce471736676b2a7920177417a0db5d","22401134","2025-05-03 05:21:23","Bought","1.8ETH ($3,301.11)","Seaport","0x873aC0C0Ec47735D521ee38A359DcA14b64B636E","","ERC-721","LilPudgys","1"
"0x4aef39cba68722fa0dd6aadae66b37187d47e7045ff1d1540d9222efd5fd3076","22401053","2025-05-03 05:04:47","Bought","1.579ETH ($2,895.81)","Blur","0x69a5b37A84012eF79F2B3a5F85809220987E002a","","ERC-721","LilPudgys","1"
"0x0a92f4a1a0f8ac75905878219a106e35eb9e948f8cbb50ab7228c22bcef2cd9d","22400924","2025-05-03 04:38:59","Bought","1.69ETH ($3,099.38)","Seaport","0x873aC0C0Ec47735D521ee38A359DcA14b64B636E","","ERC-721","LilPudgys","1"
"0xa2cdd4a7d436d029c7430f404b74d58f53ddacc0c1b5f3e658ca77b981ee6119","22400272","2025-05-03 02:27:11","Bought","1.5468ETH ($2,836.75)","Seaport","0x873aC0C0Ec47735D521ee38A359DcA14b64B636E","","ERC-721","LilPudgys","1"
"0x0df37c5814e3012d1f6ac5198b781d5d2d5ff2f53526e1c1f9dbead744844d74","22400236","2025-05-03 02:19:35","Bought","1.52WETH ($2,787.60)","Seaport","0x96E4A596087b811D61216684A4D87C688C6cbFFa","","ERC-721","LilPudgys","1"
"0x2ae4298000aa3bece9850695e6fac13b4fb053e27345566009baaf3c1858a498","22399495","2025-05-02 23:50:23","Bought","1.547ETH ($2,850.87)","Seaport","0x873aC0C0Ec47735D521ee38A359DcA14b64B636E","","ERC-721","LilPudgys","1"
"0x99318a7763c9b1773c4a885b5451d7ad0acb2e0100e65889742b31a330454fc1","22398970","2025-05-02 22:04:11","Bought","1.51WETH ($2,782.69)","Seaport","0xaC1532DcA25d4129fa8803574F9832E63A0bF2DF","","ERC-721","LilPudgys","1"
"0x6354daebce6510c9cfb9382d4ec63b9e546c8311dd45c43950697e451061502e","22398956","2025-05-02 22:01:11","Bought","1.53WETH ($2,819.55)","Seaport","0x953F7d7E62D43a1aAA32cda0f23cD7569DB776fA","","ERC-721","LilPudgys","1"
"0x628ab2e83f41c257653f61ec9ae95cd30d07f9805d7749d10e41253888f8196b","22398854","2025-05-02 21:40:47","Bought","1.62ETH ($2,985.40)","Blur","0x69a5b37A84012eF79F2B3a5F85809220987E002a","","ERC-721","LilPudgys","1"
"0x4763048564ce5ceb29f66e793aa6e765ae9e9cbdc72203f9afdd0502ec973b06","22398853","2025-05-02 21:40:35","Bought","1.51WETH ($2,782.69)","Seaport","0xeb79F3b9836e14678aBDB862aAbFc171341b3199","","ERC-721","LilPudgys","1"
"0xd2af3808b21879d0c370fe19b682ff76142f0b90e39cc4b74a28e8a739784cee","22398836","2025-05-02 21:37:11","Bought","1.51WETH ($2,782.69)","Seaport","0xeb79F3b9836e14678aBDB862aAbFc171341b3199","","ERC-721","LilPudgys","1"
"0x6efd8e75785bddd9997d48532588efc404c382b4978300a6d7c3b3fc0061dd28","22398812","2025-05-02 21:32:23","Bought","1.547999ETH ($2,852.71)","Seaport","0xAD3da0CcE82F6f0DCe63E56AEd0817c419080578","","ERC-721","LilPudgys","1"
"0x0f532369e3765947b817f56b5ec43383bbfabc52f431d5ff8a65fe9fe37d2d54","22398785","2025-05-02 21:26:59","Bought","1.58ETH ($2,911.69)","Blur","0x69a5b37A84012eF79F2B3a5F85809220987E002a","","ERC-721","LilPudgys","1"
"0x2fd5764d63b9b8d05a93ddf67969f38fb04c42c3bf5ec042d9a37c1e6d38454e","22398628","2025-05-02 20:55:11","Bought","1.575ETH ($2,902.47)","Blur","0x69a5b37A84012eF79F2B3a5F85809220987E002a","","ERC-721","LilPudgys","1"
"0x615a7ef9ed206d49cba6dcd2cf25f15283b0c081f20b0f2b9f2b73e8eb95133f","22398320","2025-05-02 19:52:23","Bought","1.569ETH ($2,891.42)","Seaport","0x4b6d0902863CB0a7f8e11905F78c11708BD9f4fB","","ERC-721","LilPudgys","1"
"0xe1eb855cf0e16bb37ef108ace63d393501e9623687d881b5303ddddf81b2e2e1","22397874","2025-05-02 18:22:23","Bought","1.88ETH ($3,464.54)","Seaport","0x873aC0C0Ec47735D521ee38A359DcA14b64B636E","","ERC-721","LilPudgys","1"
"0x3b3a493d7bde76b58216394889afcf42dbe3ab990c67f8663a744c5dc7c3ce61","22397377","2025-05-02 16:42:23","Bought","1.52WETH ($2,801.12)","Seaport","0x512C15b16ADA14Aa777a64dF34a5f2eC7A58aac5","otter1984.eth","ERC-721","LilPudgys","1"
"0xced39af53352f26ed927630631f5f1cc942786ec0de13683e6c4817fcf58c3a7","22396350","2025-05-02 13:14:47","Bought","1.54ETH ($2,837.97)","Seaport","0x3c8e0a9833F6a11fb857f699f82ac62B05C94314","","ERC-721","LilPudgys","1"
"0x165e8f0e79876f36400c218dc7a990b2023adaec98f946672bc6dee9f0596d66","22394974","2025-05-02 08:34:47","Bought","1.49WETH ($2,745.83)","Seaport","0x2487E611fF876C101DD2B31758102953F4760Af5","","ERC-721","LilPudgys","1"
"0x61fcaf20abb354d7fd0da82745828426e3863b26428e60e7fa56ccbaac079391","22394650","2025-05-02 07:29:35","Bought","1.5WETH ($2,764.26)","Seaport","0xD3bAaf27Dd5C3F42CC875Cc2C81CC8D16159d58b","","ERC-721","LilPudgys","1"
"0xf2e75fe921ec50cdf8a854b71fbea08353f1d9d2bba770f6cfa6fdf193de247c","22393585","2025-05-02 03:54:23","Bought","1.5WETH ($2,764.26)","Seaport","0x512C15b16ADA14Aa777a64dF34a5f2eC7A58aac5","otter1984.eth","ERC-721","LilPudgys","1"
"0x0f740df70fd343edd4f836af6d8d6cf2e23b4cf95ffa269507d1e130f56a691d","22393570","2025-05-02 03:51:23","Bought","1.537ETH ($2,832.45)","Seaport","0x289aBe0daAC5e55191b9968C517b531577f83565","","ERC-721","LilPudgys","1"
"0x67cbad64f56c05d5a6d71dccbdc047d9797db52fdbb92f2c33b4d605d141ca44","22393044","2025-05-02 02:04:35","Bought","1.99ETH ($3,667.25)","Seaport","0x873aC0C0Ec47735D521ee38A359DcA14b64B636E","","ERC-721","LilPudgys","1"
"0x64062a038b9bfec0bbfff0840d4c4db99e3430a18bdb31935ebec9dda95bfa32","22392719","2025-05-02 00:58:59","Bought","1.51WETH ($2,782.69)","Seaport","0x96E4A596087b811D61216684A4D87C688C6cbFFa","","ERC-721","LilPudgys","1"
"0xce0b456cef729187e1a619d3e97e7c95e3499d8101b6b8d339b0e003d59b4221","22390640","2025-05-01 17:58:47","Bought","1.52WETH ($2,795.02)","Seaport","0x504f998AaA20904Da32C42c6e4473D4e83A4BDcA","","ERC-721","LilPudgys","1"
"0xeb21a7a73afdb92a003332e8cd9c1b6e7e540f468e5fe69ff6a3f0a0433763ab","22389566","2025-05-01 14:22:23","Bought","1.53WETH ($2,813.41)","Seaport","0xd71D5c7Ad0FeEEEc6Ff138d76c29C55b71038d33","","ERC-721","LilPudgys","1"
"0xdd8ac1b7d363cf2dcfa7ed1502e755113def9fae8c239972ac60d1498b8ccd9f","22388369","2025-05-01 10:20:47","Bought","1.57ETH ($2,886.96)","Seaport","0x1F33c0EDbE591A2194978069c40BDDF8c2059A5E","ddlong.eth","ERC-721","LilPudgys","1"
"0x7d6beec92c5112fe3d2ffc3e1ca3716129d36bb071ebdf572a9178a25b420bf4","22387896","2025-05-01 08:45:35","Bought","1.58ETH ($2,905.35)","Seaport","0xB06C6663513865849682377CAdE263e8430053c3","","ERC-721","LilPudgys","1"
"0x3036e6f96cd84f0532b98af5e52824502996630fc53a7e181218faf23287d4b1","22387189","2025-05-01 06:22:59","Bought","1.6ETH ($2,942.13)","Seaport","0x98D848Ca828426BB441bF491dC1EEd32e9Eb5ad7","","ERC-721","LilPudgys","1"
"0x9e59fa92e32d947151a1576b3f7c1b5452d8ad183e212f8f6a3bc99a0f0061ad","22386822","2025-05-01 05:08:35","Bought","1.5258ETH ($2,805.69)","Seaport","0x78bAf29F679AcCBcf0d17cF95eBb9f6B319E728F","","ERC-721","LilPudgys","1"
"0x2f91e700aa6aa169d23e0035e7f313f217de9e42a95308a4f05b5988b25be37a","22386810","2025-05-01 05:06:11","Bought","1.51ETH ($2,776.63)","OpenSea","0xc77ec27e6ae82ead54894DFfC7D3F3fE3A09246C","israelzin.eth","ERC-721","LilPudgys","1"
"0xd4cebde95cb38f55e24ff612b9626e3ac03d50a50e905a91462087d131b14839","22386735","2025-05-01 04:51:11","Bought","1.509ETH ($2,774.79)","Seaport","0xF2A06E40aad5322F4cef91344a0658d31F9f5199","","ERC-721","LilPudgys","1"
"0xd28863ce8099decf9cc8103ec262f6300d9471b79de7ddcb9a0ae2c53feb7934","22386615","2025-05-01 04:26:47","Bought","1.5ETH ($2,758.25)","OpenSea","0xCc1Cb0FA339EB32E436dCe1Ba752bdA72fC6eDfe","jayhawknft.eth","ERC-721","LilPudgys","1"
"0x4dee00aa77c108d35f901756dafffc07b17c9875103380edbf739bfd1ec0d9b4","22386614","2025-05-01 04:26:35","Bought","1.4999ETH ($2,758.06)","Seaport","0xCc1Cb0FA339EB32E436dCe1Ba752bdA72fC6eDfe","jayhawknft.eth","ERC-721","LilPudgys","1"
"0xdf9ce691ead8d19d09031cf1ce769727fa34fe885e5b844070602a4ba2be727a","22386114","2025-05-01 02:44:59","Bought","1.47997ETH ($2,721.41)","Seaport","0x1b4862F983AA573518B612f1bb1579F4b02796CB","dontoshix.eth","ERC-721","LilPudgys","1"
"0x3d1c06c0f20621f74cbf38cea524c17a15249994225c735ca1f0c27e7739b199","22385876","2025-05-01 01:57:11","Bought","1.45WETH ($2,666.30)","Seaport","0xd71D5c7Ad0FeEEEc6Ff138d76c29C55b71038d33","","ERC-721","LilPudgys","1"
"0xa3da2f2b8cc8b2f4c047a63ad236c2f28dbe275d045e83f168450528369843cd","22385288","2025-04-30 23:58:59","Bought","1.46WETH ($2,618.99)","Seaport","0xd71D5c7Ad0FeEEEc6Ff138d76c29C55b71038d33","","ERC-721","LilPudgys","1"
"0xb3e2d89f1d7622e8cf3e8b77fd8605bce34ffb79ccd8d0e48a0e66daa6e31f8e","22385236","2025-04-30 23:48:35","Bought","1.45WETH ($2,601.05)","Seaport","0x512C15b16ADA14Aa777a64dF34a5f2eC7A58aac5","otter1984.eth","ERC-721","LilPudgys","1"
